courses_list,occupation
"['Big Data Science', 'Cloud Computing', 'Data Analytics', 'Data Structure for Application Programmers', 'Foundations of Computer System', 'Intro to Information Security', 'J2EE Web Application Development', 'Java For Application Programmers', 'Numerical Methods for Engineering Design and Optimization', 'Web Application']","Searching Full-Time Software Engineer Opportunities, graduate @CMU"
"['Cloud Computing', 'Database Design and Implementation', 'Digital Tooling', 'Engineering Computation', 'Fabricating Customization', 'Fundamentals of Programming and Computer Science', 'Introduction to Computer Systems', 'Introduction to Data Structures', ""Master's Project"", 'Principles of Imperative Computation']",Software Engineer
"['Contextual Inquiry and Consulting Foundations', 'Fundamentals of Human Behavior', 'Information Architecture', 'Introduction to Graphic Design', 'Introduction to Interaction Design', 'Needs Assessment and Usability Evaluation', 'Online Communities', 'Personal Informatics Design']",UX Researcher
"['Advanced Algorithms and Data Structures', 'Computational Genomics', 'Introduction to Computer System', 'Introduction to Programming and Computer Science', 'Java for Application Programmers', 'Machine Learning', 'Principles of Software Construction', 'Programming for scientists']","Master's student at CMU, SDE Intern at Uber ATG"
"['Database Applications Development', 'Deep Neural Networks', 'Design of Software Systems', 'Introduction to Data Science', 'Machine Learning', 'Statistical Methods for Data Science']",Actively Seeking Internship or Full-time Position within Data Science
"['3D Graph Design', 'Application of Linux', 'Artificial Intelligence', 'Computer Graphics', 'Computer Network', 'Computer Network Enginnering', 'Computer Network Security', 'Computer Networking', 'Computer System Architecture', 'Data Structure']",Software Developer at MetTel
"['Cloud Computing', 'Fundamentals of Embedded Systems', 'Introduction to Computer Systems', 'Search Engines']",Software Engineering Intern at Google
"['Advanced Mobile Devices and Game Consoles', 'Analysis of Algorithms', 'Database Systems', 'Software Engineering', 'Web Technologies']",Software Development Engineer at Amazon
"['Electro-optical instrumentation', 'Integrated Circuit Technology', 'Introduction to Microelectronic Technology', 'Introduction to the Theory of Microelectronics', 'Liquid Crystals', 'MOS Capacitor Device', 'Nano Optoelectronics Semiconductor Processing Technology', 'Optoelectronics: Devices, Integration, Packaging, Systems', 'Organic Optoelectronics', 'Physics of Semiconductor Devices']",Graduate Research Assistant at Georgia Institute of Technology
"['Analysis of Algorithms', 'Computer Architecture', 'Human-Computer Interaction', 'Information Retrieval', 'Principles of Database Systems', 'Programming Languages', 'Web Applications']",LinkedIn - Site Reliability Engineer
"['Computer System Engineering', 'Curriculum Design of Programming', 'Distributed Systems', 'Introduction to Computer Systems', 'Operating Systems', 'Practice of Software Development', 'Principle and Technology of Compiler', 'Principle and Technology of Database']",MCDS Student at CMU | Seeking 2018 Summer Internship
"['Advanced Calculus', 'Applied Mathematics', 'Data Structure and Programming', 'Electricity and Magnetism', 'High-tech Entrepreneurship and Operation', 'Quantum Physics', 'Statistical Physics']",Web Developer at BoniO Inc.
"['Cloud Computing', 'Computer Networks', 'Data Structure', 'Data Structure & Algorithm', 'Database Management', 'Digital Transformation', 'Discrete Mathematics', 'Distributed System', 'Economic Analysis', 'Financial Accounting']",Software Development Engineer at Amazon
"['Advanced Cloud Computing', 'Algorithms, Part I', 'Algorithms: Design and Analysis, Part 1', 'Cloud Computing(AWS)', 'Data Communications and Computer Networks', 'Data Structures', 'Distributed System', 'How to Write Fast Code(Parallel Computing)', 'Introduction to Computer System', 'Java Smart Phone Developemnt(Android)']",Software Engineer at Facebook
"['Advanced Data Structures', 'Computer Vision I', 'Computer Vision II', 'Data Mining & Analytics', 'Design & Analysis of Algorithm', 'Neural Networks for Pattern Recognition', 'Probabilistic Reason&Learning', 'Speech Recognition', 'Statistical Learning I', 'Web Mining and Recommender Systems']",Seeking opportunities
"['Data Analysis and Knowledge Discovery', 'Introduction to Machine Learning']",Software Development Engineer at Amazon
"['Applied Cryptography', 'Building Reliable Distributed System', 'Cloud Computing', 'Data Structure and Algorithm', 'Data, Inference and Applied Machine Learning', 'Foundations of Cloud and Machine Learning Infrastructure', 'Foundations of Computer Systems', 'Machine Learning', 'Principles of Software System Construction: Object, Design and Concurrency', 'Web Application Development']",CMU student seeking full-time SDE
"['Advanced Database Management Systems', 'Artificial Intelligence', 'Data Mining', 'Data Structure and Programming', 'Database Management Systems', 'Digital Image Processing', 'Graph Mining', 'Information Retrieval and Web Search', 'Introduction to Computer Networks', 'Introduction to Digital Speech Processing']",Software Engineer at Google
"['Advanced Applications Programming', 'Broadband Communication Networking', 'Internetworking', 'Introduction to Computer Science', 'Introduction to Robotics', 'Linear System Theory', 'MSEE Project', 'MSEE Project Proposal', 'Network Programming and Application', 'Network Security']",Front End Engineer at BroadVision | Seeking new opportunity in Bay Area
"['Advanced Language Programming in C', 'Analysis of Algorithms', 'Big Data Science', 'Data Structure', 'Foundations of Artificial Intelligence', 'Front-End Engineering', 'Introduction to Computer Netowkrs', 'Microprocessor Engineering', 'Probability for Electrical and Computer Engineers', 'Senior Capstone Design']",Software Engineer Internship at Huawei Technologies
"['Algorithms', 'CMU-CSAPP', 'Cloud Computing Security', 'Compiler', 'Computability Theory', 'Computer Architecture', 'Computer Intrusion Detection', 'Computer Network', 'Data Sturcture', 'Database']",Security Automation Engineer
"['Big Data Science', 'Data Structure', 'Data, Interface and Applied Machine Learning', 'Distributed System', 'Enterprise Web Development', 'Introduction to Computer System', 'Java for Application Programmers', 'Pattern Recognition']",Master-Carnegie Mellon University
"['Algorithm Analysis and Design', 'Artificial Intelligence', 'C++ and OOP', 'Computer Vision', 'Manipulation,Mobility and Control', 'Microcomputer and Embedded System', 'Pattern Recognition', 'Software Technology']",Graduate Student in Robotics Institute - Carnegie Mellon University
"['Analysis of Algorithms', 'Applied Modern Statistical Learning Methods', 'Data Structures & Algorithms', 'Data warehousing, Mining and Business Intelligence', 'Database Systems', 'Database Systems Interoperability', 'Database Technology', 'Directed Research', 'Foundations of Artificial Intelligence', 'Information Retrieval and Web Search Engines']",Software Development Engineer at Amazon
"['Advanced Algorithm Design and Implementation', 'Advanced Programming in the UNIX Environment', 'Algorithms', 'Artificial Intelligence', 'Data Management and Exploration on the Web', 'Database Management System', 'Database Management Systems II', 'Enterprise Software Architecture and Design', 'Introduction to Java', 'Knowledge Discovery and Data Mining']",SDE - SCOT
"['Analysis of Algorithms', 'Artificial Intelligence', 'Database Systems', 'Engineering Data Analytics', 'Engineering Statistics', 'Introduction to Programming System Design', 'Linear Optimization', 'Machine Learning', 'Operating Systems', 'Operation Research - Stochastic']",Software Engineer at Snap Inc.
"['3-D Graphics And Rendering', 'Advanced Mobile Devices and Game Consoles', 'Analysis of Algorithm', 'Applied Natural Language Processing', 'Database System', 'Foundation of Artificial Intelligence', 'Information Retrieval And Web Search Engines', 'Web Technologies']",Software Development Engineer at Amazon (Amazon Video is Hiring!)
